NUTS_0,2010,2020,2030,2040,2050
AT,100,102,105,107,107
BE,353,378,398,415,428
BG,68,64,60,56,53
CY,87,96,105,112,118
CZ,133,137,137,136,135
DE,229,224,218,209,198
DK,128,133,137,139,140
EE,31,30,29,29,28
ES,88,91,95,99,100
FI,16,17,17,17,17
FR,118,124,128,131,133
GR,86,88,88,88,88
HR,76,74,72,69,67
HU,108,107,105,102,99
IE,64,69,75,82,89
IT,201,209,215,219,220
LT,51,49,47,45,43
LU,193,221,241,258,271
LV,35,33,31,30,28
MT,1310,1317,1323,1293,1260
NL,466,484,495,496,488
PL,122,123,120,116,111
PT,114,116,116,116,114
RO,90,88,85,82,78
SE,21,23,24,25,26
SI,101,106,106,106,104
SK,111,114,114,112,109
UK,254,271,288,301,313
